Authors;Scores
Wenning J.;0.57
Shukalov A.V.;0.56
Scaysbrook S.;0.56
Ocampo J.;0.56
Arkouli Z.;0.56
Liao T.W.;0.56
Arora S.;0.56
Tiwari A.;0.56
Hassanzadeh A.;0.56
Bai K.-J.;0.56
Dushin S.E.;0.56
Akinci B.;0.56
Jamshidi M.;0.56
Wang Z.;0.55
Beck M.T.;0.55
Makris S.;0.55
Villalonga A.;0.55
Costelha H.;0.55
Yang J.;0.55
Stecken J.;0.54
Gorecky D.;0.54
Schlögl W.;0.54
Kiessh I.;0.54
Silva R.;0.54
Sismisova D.;0.54
Fourastier Y.;0.54
Stich V.;0.54
Deac C.N.;0.54
Hoedt S.;0.54
Khajavi S.H.;0.54
Arisoy E.B.;0.54
Jones D.;0.54
Abadías Llamas A.;0.54
Sleuters J.;0.54
Berglind L.;0.53
Sacco M.;0.53
Glaser P.;0.53
Wen Z.;0.53
Ozols K.;0.53
Pellicciari M.;0.53
Choze S.;0.53
Wang C.;0.52
Lee H.S.;0.52
Gaál L.;0.52
Parto M.;0.52
Jr.;0.52
Karhela T.;0.52
Marković I.;0.52
Nylund H.;0.52
Singh J.P.;0.52
Mas F.;0.52
Wang H.;0.51
Oñederra O.;0.51
Belavin V.;0.51
Fang Y.;0.51
Ruohomaki T.;0.51
Pairet E.;0.51
Beck J.;0.51
Kosimov B.;0.51
Jennions I.K.;0.51
Ye S.;0.50
Witherell P.;0.50
Bondar V.N.;0.50
Jung D.;0.50
Carson J.;0.50
Mermoz E.;0.50
Eckhardt T.;0.50
Hribernik K.;0.50
Ebersbach T.;0.50
Balchanos M.;0.50
Profanter S.;0.50
Manickavasagam K.;0.50
Lin W.D.;0.50
Kychkin A.;0.50
Adler S.;0.50
Giannoulis C.;0.50
Moyne J.;0.50
Anand S.;0.49
Kras B.;0.49
Falkman P.;0.49
Popelnukha N.;0.49
Yoshida K.;0.49
Ham Y.;0.49
Kádár B.;0.49
Fogli D.;0.49
Mostafavi A.;0.49
Buhnova B.;0.49
Xie X.;0.49
Zhou T.;0.49
Cohen P.H.;0.49
Ratava J.;0.49
Germann T.;0.48
Schmetz A.;0.48
Naplekov I.;0.48
Marmolejo-Saucedo J.A.;0.48
Holsaeter A.M.;0.48
Kholopov V.A.;0.47
Wagener R.;0.47
Esquembri S.;0.47
Haefner B.;0.47
Filipenko M.;0.47
Aslanidou I.;0.46
Margetts L.;0.46
Jepsen M.S.;0.46
Dhada M.H.;0.46
Guo Y.;0.46
Venturini M.;0.46
Kang E.;0.46
de Andrade Bertazzi J.;0.46
She C.;0.46
Potekhin V.;0.46
Von Lindenfels J.;0.46
Verriet J.;0.46
Wellsandt S.;0.46
Mitschang B.;0.46
Jun C.;0.46
Pereverzev P.P.;0.45
Snider C.;0.45
Wang R.;0.45
Kreutz M.;0.45
Di Scalea F.L.;0.45
Henser J.;0.45
Drath R.;0.44
Kim J.;0.44
Riedel O.;0.44
Ruskowski M.;0.44
Ahmad B.;0.44
Javales R.;0.44
Yablochnikov E.;0.44
Cameron I.;0.44
Čierna H.;0.44
Semere D.;0.44
Alai S.;0.44
Alessandro G.;0.44
Du X.;0.44
Karimi R.;0.44
Hagmar J.;0.44
Kapos G.-D.;0.44
Cattaneo L.;0.44
Savur C.;0.43
Nassehi A.;0.43
Marcher C.;0.43
Eberle U.;0.43
Malmqvist J.;0.43
Kim H.-J.;0.43
Zharinov I.O.;0.43
Zhao J.L.;0.43
Kanak A.;0.42
Sahin F.;0.42
Sihn W.;0.42
Machl T.;0.42
Leser P.;0.42
Kuzmichev V.E.;0.42
Meggitt J.W.R.;0.42
Bondarenko O.;0.42
Krishnamoorthy H.S.;0.42
Szpytko J.;0.42
Wantia N.;0.42
Jansen R.J.E.;0.42
Johansen S.S.;0.42
Gehrmann C.;0.42
Barszcz T.;0.42
Taurino T.;0.42
Wright L.;0.42
Damgrave R.G.J.;0.42
Gurevich U.;0.42
Cheng Z.;0.42
Arrichiello V.;0.42
Enkler H.-G.;0.42
Whelan G.;0.42
Niaki F.A.;0.42
Urbinati A.;0.42
Pipes R.B.;0.42
Roy R.;0.41
Fu J.;0.41
Baldi F.;0.41
Kang Y.-S.;0.41
Mukhametdinov E.;0.41
Bondarenko Y.;0.40
Kabaldin Y.G.;0.40
Park L.W.;0.40
Clarke M.;0.40
He J.;0.40
Metzner M.;0.40
Zhou L.;0.40
Glistau E.;0.40
Fernandes C.;0.39
Damiani L.;0.39
Kojima F.;0.39
Leotta F.;0.39
Hantos G.;0.39
Indrusiak L.S.;0.39
Khouri E.;0.39
Jing X.;0.39
Lee Y.-T.;0.39
Røed O.C.;0.39
Barde A.;0.39
Caranovic S.;0.39
Kyllingstad Å.;0.39
Vaimann T.;0.39
Tang S.;0.39
Dölle C.;0.39
Arif İ.;0.39
Vepsalainen J.;0.39
Bondaletova N.F.;0.39
Bayhan H.;0.39
Baumeister F.;0.39
Min Q.;0.39
Silva F.P.;0.39
Yoon J.-S.;0.39
Segura A.S.;0.39
Mai C.;0.39
Reinhart G.;0.39
Papantoniou I.;0.39
Rencz M.;0.39
Salem B.;0.39
Lamothe J.;0.38
Robmann J.;0.38
Urbas L.;0.38
García-García M.;0.38
Chariklia G.A.;0.38
Jiang W.;0.38
Sokolov B.;0.38
Tonnes C.;0.38
Schulz K.;0.38
Choe D.-E.;0.38
Onori M.A.;0.38
Kvamsdal T.;0.38
Rambow-Hoeschele K.;0.38
Silva W.;0.38
Hu W.;0.38
Madrid J.;0.38
Sheridan J.;0.38
Mirabelli G.;0.37
Dietz M.;0.37
Grech R.;0.37
Neitz A.;0.37
Arenas J.;0.37
Neves C.;0.37
Zühlke D.;0.36
Goncalves G.;0.36
Rosmann J.;0.36
Morhac M.;0.36
Praca I.;0.36
Claeys A.;0.36
Jussen P.;0.36
Popa C.L.;0.36
Kim H.;0.36
Wang P.;0.36
Bartie N.J.;0.36
Fontana A.;0.36
Motlagh N.H.;0.36
Zijlstra G.;0.36
Ren G.;0.36
Stjepandić J.;0.35
Zhang F.;0.35
Sun S.;0.35
Luiten W.;0.35
Cardno C.A.;0.35
Maryasin O.;0.35
Medeiros M.L.;0.35
McGuire L.;0.35
Shibuya M.;0.35
Kim H.W.;0.35
Goraj R.;0.35
Venkateswaran N.;0.35
Ikeda M.;0.35
Ohnemus T.;0.35
Foppe T.;0.35
Chen Y.J.;0.35
Hill D.;0.35
Valckenaers P.;0.35
Vitaliev V.;0.35
Wright R.S.;0.35
Jockusch S.;0.35
Meier R.;0.35
Chen Z.;0.35
Magomadov V.S.;0.35
Crosby N.;0.35
Wescoat E.;0.35
Paul M.;0.35
Hein B.;0.35
Nieminen H.;0.35
Wei L.;0.34
Du J.;0.34
Viitala R.;0.34
Ren S.;0.34
Tonelli F.;0.34
Arzymatov K.;0.34
Peng C.;0.34
Asensio F.J.;0.34
Airaksinen E.;0.34
Ardón P.;0.34
Garcia E.;0.34
Ardakani H.D.;0.34
Schwartz J.;0.34
Malakuti S.;0.34
Chang Y.;0.33
Unger R.;0.33
Pinon O.J.;0.33
Rickert M.;0.33
Marino Y.;0.33
Tengenkai N.;0.33
Ndiaye N.Y.;0.33
Egorov V.V.;0.33
Korolev A.O.;0.33
Sazonov I.;0.33
Hegedus C.;0.33
Centomo S.;0.33
Tucker D.;0.33
Wang K.-J.;0.33
Ali M.A.;0.33
Staasmeyer J.-H.;0.33
Hlady J.;0.33
Booyse W.;0.33
Slon C.;0.33
Bondar S.;0.33
Asha K.;0.33
Borth M.;0.33
Thomas A.;0.33
Kuenzel M.;0.33
Francisco A.;0.33
Jeon H.Y.;0.33
Verner I.M.;0.33
Pereverzev P.;0.33
Voronin S.;0.33
Skaf Z.;0.33
Mieth C.;0.33
Pivano L.;0.33
Chowdhury S.H.;0.33
Moder P.;0.33
Orozco-Romero A.;0.33
Brillinger M.;0.33
Werner A.;0.33
Cronrath C.;0.33
Redelinghuys A.J.H.;0.33
Weber P.;0.33
Kolbachev E.;0.33
Eckhart M.;0.33
Fernández I.A.;0.33
Pfeiffer B.-M.;0.33
Dufour C.;0.33
Ghalsasi O.;0.33
Liu Z.-K.;0.33
Fabian M.;0.33
Takakuwa S.;0.33
Barton K.;0.33
Arbelaiz A.;0.33
Holters M.;0.33
Wang T.;0.33
Kaakkunen J.;0.32
Chen C.-Y.;0.32
Lindau B.;0.32
Gabriel F.;0.32
Lee T.H.;0.32
Zheleznikov I.;0.32
