Authors;Scores
R.V.;3.72
Fernandes;3.72
Gjoreski;3.72
Bowen;3.71
Stark;3.71
Saeed;3.70
Le Kernec;3.70
Patra;3.70
West;3.70
Di;3.70
O.M.;3.70
Masum;3.68
Jefferies;3.68
H.-J.;3.68
Lawal;3.68
Jansi;3.68
Loukas;3.67
P.F.;3.67
Sani;3.66
Santiago;3.66
Okamoto;3.66
Ramirez;3.65
J.-C.;3.65
Fernández;3.65
Gan;3.64
Temko;3.64
Franco;3.64
E.W.;3.64
M.Y.;3.64
Romero;3.63
Turner;3.63
Jun;3.62
Ishii;3.61
E.V.;3.61
Panwar;3.61
Mostafa;3.61
Kubota;3.60
Cunha;3.60
Georgiadis;3.60
N.B.;3.60
Palmer;3.58
Ghayvat;3.58
Dunn;3.58
Simpson;3.57
Alizadeh;3.57
Shahzad;3.57
Marshall;3.57
Popescu;3.56
Barrow;3.56
Miyazaki;3.55
Heneka;3.55
Á.;3.55
U.S.;3.54
Y.A.;3.54
Datta;3.54
M.A.A.;3.53
Koh;3.53
J.-S.;3.53
L.T.;3.53
Alexander;3.53
C.-L.;3.52
Nunes;3.52
Burger;3.52
O.S.;3.52
Moriyama;3.52
Bennett;3.52
Chong;3.52
Pandit;3.51
C.-M.;3.51
Fuchs;3.51
Vu;3.50
H.W.;3.50
Schulz;3.49
Brena;3.49
Kasnesis;3.49
M.-L.;3.49
Woodward;3.49
Fox;3.47
F.S.;3.47
Fleming;3.47
S.I.;3.47
Bi;3.47
Laput;3.47
Ashry;3.46
Z.-X.;3.46
Yoshida;3.46
Raymond;3.46
Paiva;3.45
Amado;3.45
Malaguarnera;3.45
Spets;3.45
Sui;3.44
Duarte;3.44
Jansen;3.44
C.-F.;3.43
De;3.43
Iglesias;3.43
E.B.;3.43
R.I.;3.43
Cattaneo;3.43
Teixeira;3.43
Deep;3.43
Takeda;3.42
Webb;3.42
Coelho;3.42
Patton;3.41
Wallace;3.41
Abdel-Basset;3.41
Choudhary;3.40
G.V.;3.40
Hahn;3.40
Bharti;3.40
N.V.;3.40
J.O.;3.40
Amoruso;3.39
L.P.;3.39
Visser;3.39
Nitsche;3.39
Bie;3.38
Könning;3.38
Cassidy;3.38
Mittal;3.38
Hung;3.37
Nogales;3.37
Haresamudram;3.36
Rowe;3.36
H.-C.;3.36
Tuncer;3.36
Geng;3.35
Phillips;3.35
Martini;3.35
Sander;3.35
Hnoohom;3.34
Thu;3.34
Tucker;3.34
Pinheiro;3.34
Atkinson;3.34
J.-B.;3.34
Santamaria;3.33
A.K.M.;3.33
Joseph;3.33
Banerjee;3.33
Kok;3.33
Fei;3.32
Pacheco;3.32
D.I.;3.32
Daniels;3.31
J.-F.;3.31
C.V.;3.31
Razzaq;3.30
Moore;3.30
Kaiser;3.30
Maier;3.30
Biagetti;3.30
Maksimenko;3.30
Murugan;3.30
Shaw;3.29
Abbott;3.29
Kennedy;3.29
Kwok;3.28
Abidine;3.28
Soares;3.28
Lucas;3.27
Huo;3.27
Ueda;3.27
Vaughan;3.27
Andrews;3.27
Rossion;3.27
Kawasaki;3.27
Jacobson;3.26
Badawi;3.26
Dobó;3.25
J.-R.;3.25
Cvetković;3.25
Muntasell;3.25
S.-W.;3.25
Rahim;3.24
Payne;3.24
Jeelani;3.23
Saini;3.23
Riddell;3.23
Aziz;3.23
Xuan;3.23
Amato;3.22
Y.H.;3.22
Bianchi;3.22
Hori;3.22
Villalonga;3.22
Ekins;3.21
Gallo;3.21
Greer;3.21
Kamal;3.21
Oliver;3.21
Bohnsack;3.20
H.-H.;3.20
Farzaei;3.20
Scanzello;3.20
McFadyen;3.20
Simons;3.20
Bosch;3.19
Khurana;3.19
Kopitz;3.19
Y.-X.;3.19
W.K.;3.18
Ribeiro;3.18
Farrahi;3.18
Robertson;3.17
Kuznetsova;3.17
Rook;3.17
Plotz;3.17
H.-X.;3.17
Donnelly;3.17
Gumaei;3.16
Conti;3.16
Baldominos;3.16
Tedesco;3.16
Mariani;3.16
Galli;3.16
Gammulle;3.16
Robert;3.15
